/home/esteban/Desktop/test_ransom/ OPEN,ISDIR 
/home/esteban/Desktop/test_ransom/ ACCESS,ISDIR 
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE,ISDIR 
/home/esteban/Desktop/test_ransom/ CREATE test3.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test3.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test3.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test3.txt.crswap
/home/esteban/Desktop/test_ransom/ MODIFY test3.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_WRITE,CLOSE test3.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test3.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test3.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test3.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test3.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test3.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test3.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_FROM test3.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_TO test3.txt
/home/esteban/Desktop/test_ransom/ ATTRIB test3.txt
/home/esteban/Desktop/test_ransom/ OPEN test3.txt
/home/esteban/Desktop/test_ransom/ ACCESS test3.txt
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test3.txt
/home/esteban/Desktop/test_ransom/ CREATE test3.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test3.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test3.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test3.txt
/home/esteban/Desktop/test_ransom/ ACCESS test3.txt
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test3.txt
/home/esteban/Desktop/test_ransom/ OPEN test3.txt.crswap
/home/esteban/Desktop/test_ransom/ MODIFY test3.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_WRITE,CLOSE test3.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test3.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test3.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test3.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test3.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test3.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test3.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_FROM test3.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_TO test3.txt
/home/esteban/Desktop/test_ransom/ ATTRIB test3.txt
/home/esteban/Desktop/test_ransom/ CREATE test4.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test4.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test4.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test4.txt.crswap
/home/esteban/Desktop/test_ransom/ MODIFY test4.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_WRITE,CLOSE test4.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test4.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test4.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test4.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test4.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test4.txt.crswap
